,2015,SSP1,SSP3,SSP5,lat1,long1,lat2,long2,lat3,long3,lat4,long4,lat5,long5
205,1646.1891279635504,114.01722889461809,110.28366393734076,206.38510649184556,18.0,58.0,17.0,58.0,17.0,59.0,18.0,59.0,18.0,58.0
207,0.09723722555839508,117.90714888871919,117.90714888871919,582.7773635848977,23.0,58.0,22.0,58.0,22.0,59.0,23.0,59.0,23.0,58.0
208,0.6267001695911049,24.53443380894811,24.53443380894811,255.43102780055756,24.0,58.0,23.0,58.0,23.0,59.0,24.0,59.0,24.0,58.0
209,7.018693406765894,98.9412956309826,99.0770773968126,509.70004768216074,25.0,58.0,24.0,58.0,24.0,59.0,25.0,59.0,25.0,58.0
210,3576.149398331401,-7.268924590129065,-6.7008771075411575,47.948540652289594,26.0,58.0,25.0,58.0,25.0,59.0,26.0,59.0,26.0,58.0
211,7745.32577125039,-13.107185647389787,-11.090726439379036,25.244009342194712,27.0,58.0,26.0,58.0,26.0,59.0,27.0,59.0,27.0,58.0
212,933.0601449799483,-61.47905459122569,-61.375044095497756,68.89227583287811,28.0,58.0,27.0,58.0,27.0,59.0,28.0,59.0,28.0,58.0
213,0.05013072038019776,0.0,0.0,0.0,29.0,58.0,28.0,58.0,28.0,59.0,29.0,59.0,29.0,58.0
214,37.15756003209186,-1.9112766281379345,-2.0050168179628054,0.0,30.0,58.0,29.0,58.0,29.0,59.0,30.0,59.0,30.0,58.0
215,28583.527707075013,-0.018414073511144716,-0.022247466124676086,0.0,31.0,58.0,30.0,58.0,30.0,59.0,31.0,59.0,31.0,58.0
216,49063.2365977216,0.01860344808911034,0.01860344808911034,0.01860344808911034,32.0,58.0,31.0,58.0,31.0,59.0,32.0,59.0,32.0,58.0
217,1.4247611745114828,0.0,0.0,0.0,33.0,58.0,32.0,58.0,32.0,59.0,33.0,59.0,33.0,58.0
218,2362.7178895870657,0.004870140775307071,0.004870140775307071,0.004870140775307071,34.0,58.0,33.0,58.0,33.0,59.0,34.0,59.0,34.0,58.0
219,1214.5611865984508,0.0,0.0,0.0,35.0,58.0,34.0,58.0,34.0,59.0,35.0,59.0,35.0,58.0
220,0.35952996855015434,0.0,0.0,0.0,36.0,58.0,35.0,58.0,35.0,59.0,36.0,59.0,36.0,58.0
221,23.0294164663627,0.0,0.0,0.0,37.0,58.0,36.0,58.0,36.0,59.0,37.0,59.0,37.0,58.0
222,330.80460267918266,-25.818801713736022,-25.84289202661942,-0.0028381757880667456,38.0,58.0,37.0,58.0,37.0,59.0,38.0,59.0,38.0,58.0
223,2548.3152703658925,-17.51598585469584,-21.249689499621603,1.078627470053649,39.0,58.0,38.0,58.0,38.0,59.0,39.0,59.0,39.0,58.0
224,1087.298653180962,-80.69684085717843,-83.44334210809929,-1.4196862161417623,40.0,58.0,39.0,58.0,39.0,59.0,40.0,59.0,40.0,58.0
225,3132.254789598545,-5.078075112396088,-6.315295576193897,0.0,41.0,58.0,40.0,58.0,40.0,59.0,41.0,59.0,41.0,58.0
226,451.42229331033286,-0.2206096113346385,-0.236901245250047,0.0,42.0,58.0,41.0,58.0,41.0,59.0,42.0,59.0,42.0,58.0
227,0.2941764017855906,0.0,0.0,0.0,43.0,58.0,42.0,58.0,42.0,59.0,43.0,59.0,43.0,58.0
228,21.355248857771944,0.0,0.0,0.0,44.0,58.0,43.0,58.0,43.0,59.0,44.0,59.0,44.0,58.0
229,142.97639454794813,0.0,0.0,0.0,45.0,58.0,44.0,58.0,44.0,59.0,45.0,59.0,45.0,58.0
230,2960.8647359008664,0.007157827219853345,0.007157827219853345,0.007157827219853345,46.0,58.0,45.0,58.0,45.0,59.0,46.0,59.0,46.0,58.0
231,41.25543865037388,0.0,0.0,0.0,47.0,58.0,46.0,58.0,46.0,59.0,47.0,59.0,47.0,58.0
232,36.30197088772757,-22.02569866852355,-24.07959950577656,-0.3722334368259127,48.0,58.0,47.0,58.0,47.0,59.0,48.0,59.0,48.0,58.0
233,350.62118681129846,-24.210258342537568,-27.410840802815095,-1.5350482172933306,49.0,58.0,48.0,58.0,48.0,59.0,49.0,59.0,49.0,58.0
234,13.556895223238152,-45.84505422577846,-50.46246636375162,-3.6797926866634683,50.0,58.0,49.0,58.0,49.0,59.0,50.0,59.0,50.0,58.0
235,7.569115660104287,-61.13567437946166,-72.6876185110648,-3.0883511155378964,51.0,58.0,50.0,58.0,50.0,59.0,51.0,59.0,51.0,58.0
236,52.69039803845326,-36.30859154072994,-37.46822028715615,-0.24201154583445664,52.0,58.0,51.0,58.0,51.0,59.0,52.0,59.0,52.0,58.0
237,43.834354518225076,-9.68333918809128,-9.713534848647114,-0.3297435599548866,53.0,58.0,52.0,58.0,52.0,59.0,53.0,59.0,53.0,58.0
238,0.6241169076997614,-8.764961170359966,-8.81974088466718,-0.2681622310093517,54.0,58.0,53.0,58.0,53.0,59.0,54.0,59.0,54.0,58.0
239,636.951148274511,-24.83851452579729,-25.239750272744526,-1.8495382860538099,55.0,58.0,54.0,58.0,54.0,59.0,55.0,59.0,55.0,58.0
240,902.3415589411765,-45.104784048719964,-48.94000163748007,-0.08426025011220718,56.0,58.0,55.0,58.0,55.0,59.0,56.0,59.0,56.0,58.0
241,3.4986355569450343,-3.101431218691388,-3.101431218691388,0.0,57.0,58.0,56.0,58.0,56.0,59.0,57.0,59.0,57.0,58.0
242,0.08568952901406131,-88.31026879056712,-90.82940304568376,-4.570228223986887,58.0,58.0,57.0,58.0,57.0,59.0,58.0,59.0,58.0,58.0
244,0.013487017512855056,0.0,0.0,0.0,60.0,58.0,59.0,58.0,59.0,59.0,60.0,59.0,60.0,58.0
245,0.03299193262580579,-15.291307815421247,-15.291307815421247,0.3237403776784036,61.0,58.0,60.0,58.0,60.0,59.0,61.0,59.0,61.0,58.0
247,0.13151574207534042,-0.8018952196101514,-0.8018952196101514,0.0,63.0,58.0,62.0,58.0,62.0,59.0,63.0,59.0,63.0,58.0
248,2.8004669529238915,-0.016430367434689286,-0.016430367434689286,0.0,64.0,58.0,63.0,58.0,63.0,59.0,64.0,59.0,64.0,58.0
269,0.11459823744371829,0.006706945207675379,0.006706945207675379,0.006706945207675379,93.0,58.0,92.0,58.0,92.0,59.0,93.0,59.0,93.0,58.0
276,954.0549536822692,0.05620367448870961,0.05620367448870961,0.056236003975922336,-117.0,57.0,-118.0,57.0,-118.0,58.0,-117.0,58.0,-117.0,57.0
277,253.30614835737182,0.0,0.0,0.0,-116.0,57.0,-117.0,57.0,-117.0,58.0,-116.0,58.0,-116.0,57.0
280,169.6021428788531,0.27380017563270237,0.5262650107267637,2.2492237227554424,-4.0,57.0,-5.0,57.0,-5.0,58.0,-4.0,58.0,-4.0,57.0
