,2015,SSP1,SSP3,SSP5,lat1,long1,lat2,long2,lat3,long3,lat4,long4,lat5,long5
441,3508,-37.48574686431015,-12.571265678449258,-25.22805017103763,101.0,59.0,100.0,59.0,100.0,60.0,101.0,60.0,101.0,59.0
442,3036,-37.582345191040844,-12.61528326745718,-25.164690382081687,102.0,59.0,101.0,59.0,101.0,60.0,102.0,60.0,102.0,59.0
443,1555,-37.234726688102896,-13.569131832797428,-26.94533762057878,103.0,59.0,102.0,59.0,102.0,60.0,103.0,60.0,103.0,59.0
444,242,-35.12396694214876,-15.289256198347108,-31.40495867768595,104.0,59.0,103.0,59.0,103.0,60.0,104.0,60.0,104.0,59.0
450,2101,-49.59543074726321,-24.369347929557353,-25.511661113755356,110.0,59.0,109.0,59.0,109.0,60.0,110.0,60.0,110.0,59.0
451,3037,-49.39084622983207,-24.069805729338164,-25.353967731313798,111.0,59.0,110.0,59.0,110.0,60.0,111.0,60.0,111.0,59.0
452,2837,-48.71342967923863,-23.228762777581952,-25.837151921043354,112.0,59.0,111.0,59.0,111.0,60.0,112.0,60.0,112.0,59.0
453,3110,-48.39228295819936,-22.926045016077172,-28.681672025723472,113.0,59.0,112.0,59.0,112.0,60.0,113.0,60.0,113.0,59.0
454,2508,-49.16267942583732,-23.843700159489632,-28.4688995215311,114.0,59.0,113.0,59.0,113.0,60.0,114.0,60.0,114.0,59.0
455,285,-48.421052631578945,-18.596491228070175,-22.80701754385965,115.0,59.0,114.0,59.0,114.0,60.0,115.0,60.0,115.0,59.0
463,2,-50.0,0.0,0.0,123.0,59.0,122.0,59.0,122.0,60.0,123.0,60.0,123.0,59.0
464,53,-50.943396226415096,0.0,0.0,124.0,59.0,123.0,59.0,123.0,60.0,124.0,60.0,124.0,59.0
465,197,-50.253807106598984,0.0,-0.5076142131979695,125.0,59.0,124.0,59.0,124.0,60.0,125.0,60.0,125.0,59.0
466,824,-50.0,0.0,-8.009708737864077,126.0,59.0,125.0,59.0,125.0,60.0,126.0,60.0,126.0,59.0
467,458,-50.0,0.0,-1.5283842794759825,127.0,59.0,126.0,59.0,126.0,60.0,127.0,60.0,127.0,59.0
468,641,-50.078003120124805,0.0,0.0,128.0,59.0,127.0,59.0,127.0,60.0,128.0,60.0,128.0,59.0
469,921,-50.0542888165038,0.0,0.0,129.0,59.0,128.0,59.0,128.0,60.0,129.0,60.0,129.0,59.0
470,1498,-49.86648865153538,-0.26702269692923897,-0.6675567423230975,130.0,59.0,129.0,59.0,129.0,60.0,130.0,60.0,130.0,59.0
471,1616,-49.56683168316832,-0.49504950495049505,-1.4232673267326732,131.0,59.0,130.0,59.0,130.0,60.0,131.0,60.0,131.0,59.0
472,1611,-49.41030415890751,-2.0484171322160147,-3.7243947858473,132.0,59.0,131.0,59.0,131.0,60.0,132.0,60.0,132.0,59.0
473,101,-43.56435643564357,-16.831683168316832,-21.782178217821784,133.0,59.0,132.0,59.0,132.0,60.0,133.0,60.0,133.0,59.0
492,1,0.0,-100.0,0.0,-135.0,58.0,-136.0,58.0,-136.0,59.0,-135.0,59.0,-135.0,58.0
493,537,-10.42830540037244,-33.89199255121043,10.614525139664805,-134.0,58.0,-135.0,58.0,-135.0,59.0,-134.0,59.0,-134.0,58.0
494,17,-11.764705882352942,-35.294117647058826,5.882352941176471,-133.0,58.0,-134.0,58.0,-134.0,59.0,-133.0,59.0,-133.0,58.0
497,72,8.333333333333334,-29.166666666666668,43.05555555555556,-130.0,58.0,-131.0,58.0,-131.0,59.0,-130.0,59.0,-130.0,58.0
509,2,0.0,0.0,100.0,-118.0,58.0,-119.0,58.0,-119.0,59.0,-118.0,59.0,-118.0,58.0
510,5796,-86.55969634230503,-86.18012422360249,-79.17529330572809,-117.0,58.0,-118.0,58.0,-118.0,59.0,-117.0,59.0,-117.0,58.0
511,3470,5.446685878962536,-5.821325648414986,90.57636887608069,-116.0,58.0,-117.0,58.0,-117.0,59.0,-116.0,59.0,-116.0,58.0
512,2021,16.922315685304305,-17.714002968827312,72.63730826323602,-115.0,58.0,-116.0,58.0,-116.0,59.0,-115.0,59.0,-115.0,58.0
513,2971,19.79131605520027,-23.662066644227533,61.023224503534166,-114.0,58.0,-115.0,58.0,-115.0,59.0,-114.0,59.0,-114.0,58.0
517,1530,16.143790849673202,-25.947712418300654,53.92156862745098,-110.0,58.0,-111.0,58.0,-111.0,59.0,-110.0,59.0,-110.0,58.0
524,632,3.9556962025316458,-7.9113924050632916,14.556962025316455,-103.0,58.0,-104.0,58.0,-104.0,59.0,-103.0,59.0,-103.0,58.0
526,1505,-26.578073089700997,-37.541528239202655,-7.641196013289036,-101.0,58.0,-102.0,58.0,-102.0,59.0,-101.0,59.0,-101.0,58.0
529,843,-6.049822064056939,-34.99406880189798,19.9288256227758,-98.0,58.0,-99.0,58.0,-99.0,59.0,-98.0,59.0,-98.0,58.0
536,1402,11.840228245363766,-27.31811697574893,47.860199714693294,-78.0,58.0,-79.0,58.0,-79.0,59.0,-78.0,59.0,-78.0,58.0
545,68,20.58823529411765,-23.529411764705884,64.70588235294117,-69.0,58.0,-70.0,58.0,-70.0,59.0,-69.0,59.0,-69.0,58.0
546,192,13.541666666666666,-27.083333333333332,51.5625,-68.0,58.0,-69.0,58.0,-69.0,59.0,-68.0,59.0,-68.0,58.0
554,2151,-40.725244072524404,-28.637842863784286,-27.615062761506277,-4.0,58.0,-5.0,58.0,-5.0,59.0,-4.0,59.0,-4.0,58.0
555,18823,-73.5217552993678,-48.839186102109124,-67.36439462359878,-3.0,58.0,-4.0,58.0,-4.0,59.0,-3.0,59.0,-3.0,58.0
558,124,-89.51612903225806,-91.93548387096774,-87.90322580645162,14.0,58.0,13.0,58.0,13.0,59.0,14.0,59.0,14.0,58.0
559,44773,-16.585888816920914,-29.12246219819981,-14.006209099233914,15.0,58.0,14.0,58.0,14.0,59.0,15.0,59.0,15.0,58.0
560,29293,-35.834499709828286,-47.95343597446489,-25.504386713549312,16.0,58.0,15.0,58.0,15.0,59.0,16.0,59.0,16.0,58.0
561,27629,-61.45354518802707,-66.63650512143037,-54.16772232074994,17.0,58.0,16.0,58.0,16.0,59.0,17.0,59.0,17.0,58.0
562,10022,-46.66733186988625,-23.70784274595889,-36.98862502494512,23.0,58.0,22.0,58.0,22.0,59.0,23.0,59.0,23.0,58.0
563,5935,-40.438079191238415,-23.656276326874472,-31.406908171861836,24.0,58.0,23.0,58.0,23.0,59.0,24.0,59.0,24.0,58.0
564,56955,-59.7085418312703,-23.718725309454832,-52.681941883943466,25.0,58.0,24.0,58.0,24.0,59.0,25.0,59.0,25.0,58.0
565,63104,-47.654665314401626,-23.60230730223124,-38.488843813387426,26.0,58.0,25.0,58.0,25.0,59.0,26.0,59.0,26.0,58.0
566,76940,-43.9030413309072,-23.636599948011437,-39.243566415388614,27.0,58.0,26.0,58.0,26.0,59.0,27.0,59.0,27.0,58.0
567,32793,-50.83706888665264,-21.736346171439028,-43.344616229073274,28.0,58.0,27.0,58.0,27.0,59.0,28.0,59.0,28.0,58.0
568,54782,-39.43813661421635,-15.698587127158556,-34.686575882589175,29.0,58.0,28.0,58.0,28.0,59.0,29.0,59.0,29.0,58.0
569,70646,-39.78993856693939,-15.90323585199445,-34.44497919202786,30.0,58.0,29.0,58.0,29.0,59.0,30.0,59.0,30.0,58.0
570,76347,-39.94132054959592,-15.958714815251417,-34.58944031854559,31.0,58.0,30.0,58.0,30.0,59.0,31.0,59.0,31.0,58.0
571,93400,-40.224839400428266,-16.16595289079229,-34.903640256959314,32.0,58.0,31.0,58.0,31.0,59.0,32.0,59.0,32.0,58.0
572,46788,-39.40967769513551,-15.341540565957082,-33.83987347183039,33.0,58.0,32.0,58.0,32.0,59.0,33.0,59.0,33.0,58.0
573,87663,-40.00775697842876,-16.27026225431482,-34.599545988615496,34.0,58.0,33.0,58.0,33.0,59.0,34.0,59.0,34.0,58.0
574,105541,-39.86318113339839,-15.95398944486029,-34.2511441051345,35.0,58.0,34.0,58.0,34.0,59.0,35.0,59.0,35.0,58.0
575,41288,-39.13727959697733,-15.63892656461926,-33.474617322224375,36.0,58.0,35.0,58.0,35.0,59.0,36.0,59.0,36.0,58.0
576,42974,-40.038162609950206,-16.00735328338065,-34.70703215897985,37.0,58.0,36.0,58.0,36.0,59.0,37.0,59.0,37.0,58.0
577,21346,-41.68462475405228,-16.466785346200695,-36.46116368406259,38.0,58.0,37.0,58.0,37.0,59.0,38.0,59.0,38.0,58.0
578,46378,-39.63517184872138,-15.996808831773686,-34.30074604338264,39.0,58.0,38.0,58.0,38.0,59.0,39.0,59.0,39.0,58.0
579,32913,-39.32184850970741,-15.832649712879409,-33.8316166864157,40.0,58.0,39.0,58.0,39.0,59.0,40.0,59.0,40.0,58.0
580,26711,-41.78428362846767,-15.866122571225338,-36.722698513720935,41.0,58.0,40.0,58.0,40.0,59.0,41.0,59.0,41.0,58.0
581,35961,-40.479964405884154,-15.708684408108784,-35.00180751369539,42.0,58.0,41.0,58.0,41.0,59.0,42.0,59.0,42.0,58.0
582,25181,-40.14931893093999,-15.84528017155792,-34.64516897660935,43.0,58.0,42.0,58.0,42.0,59.0,43.0,59.0,43.0,58.0
583,20979,-39.90180656847323,-15.75861575861576,-33.471566804900135,44.0,58.0,43.0,58.0,43.0,59.0,44.0,59.0,44.0,58.0
