FIPS,County_Surface,ACRES_2016,2016
16051,#DIV/0!,4.612,76,78
16053,#DIV/0!,592,134,00
16055,#DIV/0!,7.184,59,92
16057,#DIV/0!,23.288,63,24
16059,#DIV/0!,0,.
16061,#DIV/0!,5.343,72,07
16063,#DIV/0!,495,134,00
16065,#DIV/0!,14.821,49,62
16067,#DIV/0!,4.622,128,46
16069,#DIV/0!,7.983,85,46
16071,#DIV/0!,48.858,39,34
16073,#DIV/0!,0,.
16075,#DIV/0!,124,53,56
16077,#DIV/0!,95.441,45,74
16079,#DIV/0!,0,.
16081,#DIV/0!,13.069,36,00
16083,#DIV/0!,2.312,62,48
16085,#DIV/0!,34,60,40
16087,#DIV/0!,5.710,36,72
17001,#DIV/0!,17.255,134,28
17003,#DIV/0!,2.043,124,33
17005,#DIV/0!,7.840,172,92
17007,#DIV/0!,777,197,86
17009,#DIV/0!,13.230,187,25
17011,#DIV/0!,12.388,210,66
17013,#DIV/0!,9.190,163,22
17015,#DIV/0!,9.705,207,21
17017,#DIV/0!,13.228,210,09
17019,#DIV/0!,9.522,236,41
17021,#DIV/0!,8.551,237,98
17023,#DIV/0!,8.512,171,61
17025,#DIV/0!,17.109,137,66
17027,#DIV/0!,5.457,140,74
17029,#DIV/0!,7.465,198,74
17031,#DIV/0!,0,.
17033,#DIV/0!,12.439,165,93
17035,#DIV/0!,12.870,196,21
17037,#DIV/0!,4.928,248,98
17039,#DIV/0!,4.322,217,90
17041,#DIV/0!,4.191,218,96
17043,#DIV/0!,0,.
17045,#DIV/0!,5.410,202,81
17047,#DIV/0!,5.743,112,86
17049,#DIV/0!,13.921,165,94
17051,#DIV/0!,13.961,136,69
17053,#DIV/0!,7.951,202,44
17055,#DIV/0!,9.404,90,40
17057,#DIV/0!,8.911,224,64
17059,#DIV/0!,2.332,129,49
17061,#DIV/0!,14.704,187,07
17063,#DIV/0!,2.508,230,79
17065,#DIV/0!,22.219,95,16
17067,#DIV/0!,15.132,174,53
17069,#DIV/0!,3.467,97,27
17071,#DIV/0!,5.255,223,58
17073,#DIV/0!,15.960,185,67
17075,#DIV/0!,19.197,222,22
17077,#DIV/0!,7.543,104,68
17079,#DIV/0!,13.429,145,19
17081,#DIV/0!,17.050,90,87
17083,#DIV/0!,5.698,176,34
17085,#DIV/0!,13.949,159,41
17087,#DIV/0!,15.211,83,57
17089,#DIV/0!,88,175,65
17091,#DIV/0!,3.358,187,24
17093,#DIV/0!,334,204,22
17095,#DIV/0!,10.046,208,49
17097,#DIV/0!,88,83,39
17099,#DIV/0!,8.647,234,63
17101,#DIV/0!,4.361,152,85
17103,#DIV/0!,5.372,198,35
17105,#DIV/0!,12.910,214,68
17107,#DIV/0!,11.373,236,73
17109,#DIV/0!,5.034,189,23
17111,#DIV/0!,1.318,153,41
17113,#DIV/0!,11.373,248,76
17115,#DIV/0!,3.222,253,90
17117,#DIV/0!,13.977,152,78
17119,#DIV/0!,3.296,120,92
17121,#DIV/0!,22.088,114,76
17123,#DIV/0!,3.370,208,39
17125,#DIV/0!,19.681,206,47
17127,#DIV/0!,7.248,105,14
17129,#DIV/0!,7.418,182,31
17131,#DIV/0!,14.986,186,95
17133,#DIV/0!,3.154,118,22
17135,#DIV/0!,15.116,213,94
17137,#DIV/0!,8.655,193,18
17139,#DIV/0!,2.346,227,95
17141,#DIV/0!,7.812,180,93
17143,#DIV/0!,4.897,204,78
17145,#DIV/0!,5.386,89,16
17147,#DIV/0!,3.234,249,10
17149,#DIV/0!,26.271,137,57
17151,#DIV/0!,10.048,86,79
17153,#DIV/0!,6.313,99,60
17155,#DIV/0!,1.959,217,83
17157,#DIV/0!,7.643,103,04
17159,#DIV/0!,7.144,145,12
17161,#DIV/0!,6.822,204,50
17163,#DIV/0!,2.215,117,05
17165,#DIV/0!,6.365,95,66
17167,#DIV/0!,12.848,198,22
17169,#DIV/0!,7.532,180,89
17171,#DIV/0!,6.565,156,91
17173,#DIV/0!,12.795,169,68
17175,#DIV/0!,4.143,220,11
17177,#DIV/0!,11.226,208,04
17179,#DIV/0!,10.648,204,83
17181,#DIV/0!,15.803,94,72
17183,#DIV/0!,10.293,236,42
17185,#DIV/0!,2.683,143,82
17187,#DIV/0!,3.339,211,07
17189,#DIV/0!,4.316,104,40
17191,#DIV/0!,28.756,114,54
17193,#DIV/0!,11.020,118,36
17195,#DIV/0!,16.354,201,92
17197,#DIV/0!,502,168,89
17199,#DIV/0!,6.164,80,16
17201,#DIV/0!,7.944,181,71
17203,#DIV/0!,6.512,224,05
18001,#DIV/0!,2.025,154,09
18003,#DIV/0!,4.878,139,83
18005,#DIV/0!,2.522,185,12
18007,#DIV/0!,3.199,238,93
18009,#DIV/0!,1.347,199,75
18011,#DIV/0!,864,208,26
18013,#DIV/0!,282,103,84
18015,#DIV/0!,2.334,187,53
18017,#DIV/0!,4.273,194,39
18019,#DIV/0!,382,124,54
18021,#DIV/0!,1.371,139,47
18023,#DIV/0!,1.124,210,88
18025,#DIV/0!,1.560,91,88
18027,#DIV/0!,2.223,144,94
18029,#DIV/0!,181,102,27
18031,#DIV/0!,2.946,178,35
18033,#DIV/0!,9.675,103,49
18035,#DIV/0!,1.514,195,41
18037,#DIV/0!,2.062,136,80
18039,#DIV/0!,713,128,76
18041,#DIV/0!,1.414,164,19
18043,#DIV/0!,177,101,00
18045,#DIV/0!,2.611,204,55
18047,#DIV/0!,1.598,135,97
18049,#DIV/0!,3.021,173,61
18051,#DIV/0!,1.285,162,59
18053,#DIV/0!,1.850,170,28
18055,#DIV/0!,2.577,129,11
18057,#DIV/0!,875,191,88
18059,#DIV/0!,127,205,38
18061,#DIV/0!,2.162,99,02
18063,#DIV/0!,912,197,02
18065,#DIV/0!,1.095,153,44
18067,#DIV/0!,1.324,215,76
18069,#DIV/0!,4.476,159,93
18071,#DIV/0!,3.872,148,15
18073,#DIV/0!,5.207,209,39
18075,#DIV/0!,4.089,152,79
18077,#DIV/0!,617,130,55
18079,#DIV/0!,2.078,143,14
18081,#DIV/0!,753,184,94
18083,#DIV/0!,2.351,189,46
18085,#DIV/0!,6.764,129,14
18087,#DIV/0!,1.030,105,87
18089,#DIV/0!,1.359,146,59
18091,#DIV/0!,3.350,156,55
18093,#DIV/0!,5.785,126,47
18095,#DIV/0!,1.533,190,65
18097,#DIV/0!,20,193,20
18099,#DIV/0!,3.062,133,56
18101,#DIV/0!,1.440,123,96
18103,#DIV/0!,4.694,176,12
18105,#DIV/0!,1.436,101,01
18107,#DIV/0!,5.217,210,80
18109,#DIV/0!,1.084,189,24
18111,#DIV/0!,2.554,218,83
18113,#DIV/0!,5.447,108,30
18115,#DIV/0!,14,110,79
18117,#DIV/0!,4.185,130,33
18119,#DIV/0!,2.789,129,27
18121,#DIV/0!,3.400,164,12
18123,#DIV/0!,1.545,119,04
18125,#DIV/0!,3.955,142,31
18127,#DIV/0!,1.703,129,25
18129,#DIV/0!,1.130,176,39
18131,#DIV/0!,6.772,180,34
18133,#DIV/0!,5.364,168,53
18135,#DIV/0!,1.804,164,04
18137,#DIV/0!,3.818,136,87
18139,#DIV/0!,800,183,14
18141,#DIV/0!,1.720,122,52
18143,#DIV/0!,1.488,139,28
18145,#DIV/0!,438,182,15
18147,#DIV/0!,2.368,120,27
18149,#DIV/0!,13.344,161,08
18151,#DIV/0!,6.106,95,95
18153,#DIV/0!,2.530,157,66
18155,#DIV/0!,779,128,38
18157,#DIV/0!,1.540,226,65
18159,#DIV/0!,1.048,225,04
18161,#DIV/0!,786,170,72
18163,#DIV/0!,649,190,22
18165,#DIV/0!,1.448,209,27
18167,#DIV/0!,849,197,49
18169,#DIV/0!,5.170,151,17
18171,#DIV/0!,5.650,204,26
18173,#DIV/0!,2.097,129,50
18175,#DIV/0!,3.764,132,73
18177,#DIV/0!,4.255,140,64
18179,#DIV/0!,2.187,135,71
18181,#DIV/0!,2.622,213,16
18183,#DIV/0!,3.265,109,89
19001,#DIV/0!,21.175,178,21
19003,#DIV/0!,21.777,186,35
19005,#DIV/0!,23.815,169,53
19007,#DIV/0!,23.549,132,37
19009,#DIV/0!,23.753,225,77
19011,#DIV/0!,14.734,225,07
19013,#DIV/0!,10.907,259,15
19015,#DIV/0!,12.917,198,74
19017,#DIV/0!,10.975,256,61
19019,#DIV/0!,9.559,240,50
19021,#DIV/0!,8.569,211,51
19023,#DIV/0!,21.581,222,40
19025,#DIV/0!,17.056,217,29
19027,#DIV/0!,11.370,234,11
19029,#DIV/0!,16.940,181,24
19031,#DIV/0!,11.210,182,06
19033,#DIV/0!,12.416,197,08
19035,#DIV/0!,8.102,297,46
19037,#DIV/0!,12.620,213,15
19039,#DIV/0!,30.495,166,83
19041,#DIV/0!,17.437,215,56
19043,#DIV/0!,41.391,172,48
19045,#DIV/0!,11.698,186,93
19047,#DIV/0!,16.185,275,07
19049,#DIV/0!,10.073,203,07
19051,#DIV/0!,26.559,105,01
19053,#DIV/0!,33.755,155,53
19055,#DIV/0!,16.060,225,97
19057,#DIV/0!,8.515,177,27
19059,#DIV/0!,6.930,180,27
19061,#DIV/0!,12.209,182,08
19063,#DIV/0!,7.651,183,45
19065,#DIV/0!,27.200,207,83
19067,#DIV/0!,19.114,187,81
19069,#DIV/0!,12.640,218,31
