FIPS,ACRES_2016,2016
18165,1.448,209.27
18167,849,197.49
18169,5.170,151.17
18171,5.650,204.26
18173,2.097,129.5
18175,3.764,132.73
18177,4.255,140.64
18179,2.187,135.71
18181,2.622,213.16
18183,3.265,109.89
19001,21.175,178.21
19003,21.777,186.35
19005,23.815,169.53
19007,23.549,132.37
19009,23.753,225.77
19011,14.734,225.07
19013,10.907,259.15
19015,12.917,198.74
19017,10.975,256.61
19019,9.559,240.5
19021,8.569,211.51
19023,21.581,222.4
19025,17.056,217.29
19027,11.370,234.11
19029,16.940,181.24
19031,11.210,182.06
19033,12.416,197.08
19035,8.102,297.46
19037,12.620,213.15
19039,30.495,166.83
19041,17.437,215.56
19043,41.391,172.48
19045,11.698,186.93
19047,16.185,275.07
19049,10.073,203.07
19051,26.559,105.01
19053,33.755,155.53
19055,16.060,225.97
19057,8.515,177.27
19059,6.930,180.27
19061,12.209,182.08
19063,7.651,183.45
19065,27.200,207.83
19067,19.114,187.81
19069,12.640,218.31
19071,7.663,192.49
19073,11.101,202.64
19075,5.729,251.96
19077,28.824,184.9
19079,12.322,221.78
19081,12.295,209.49
19083,9.710,221.29
19085,16.387,227.16
19087,28.914,156.52
19089,20.935,213.93
19091,9.310,216.81
19093,6.841,255.33
19095,24.476,177.6
19097,18.372,180.42
19099,12.546,179.35
19101,27.412,159.24
19103,14.169,170.64
19105,15.458,177.68
19107,37.929,165.65
19109,24.895,236.84
19111,16.694,150.84
19113,10.279,193.88
19115,14.781,175.37
19117,22.589,126.99
19119,3.011,173.93
19121,20.312,173.94
19123,26.860,154.2
19125,24.861,161.81
19127,11.304,208.56
19129,6.415,190.69
19131,8.313,177.01
19133,15.157,278.18
19135,26.765,148.96
19137,11.973,200.17
19139,12.543,183.42
19141,6.080,261.53
19143,7.606,216.34
19145,13.495,179.32
19147,20.835,223.03
19149,8.763,199.11
19151,9.860,208.35
19153,4.529,209.21
19155,9.252,213.49
19157,14.873,183.3
19159,46.047,164.01
19161,10.314,234.3
19163,4.534,219.17
19165,10.775,251.49
19167,7.847,273.15
19169,9.701,220.49
19171,19.140,177.32
19173,40.423,169.17
19175,21.824,190.65
19177,25.808,131.97
19179,17.960,155.72
19181,21.847,176.65
19183,37.655,178.16
19185,39.722,124.42
19187,16.921,228.69
19189,12.824,212.53
19191,29.938,161.07
19193,26.472,275.54
19195,11.231,184.91
19197,14.784,200.2
20001,6.627,55.01
20003,6.779,65.43
20005,3.106,90.51
20007,8.242,39.84
20009,19.100,37.94
20011,10.245,58.22
20013,5.663,102.32
20015,531,51.8
20017,752,69.32
20019,1.617,46.56
20021,1.482,59.05
20023,39.878,34.48
20025,36.595,35.75
20027,14.035,59.12
20029,5.896,55.76
20031,17.326,59.79
20033,22.046,33.88
20035,3.306,45.76
20037,6.524,55.28
20039,4.802,42.13
20041,26.579,54.96
20043,5.880,115.62
20045,3.829,67.34
20047,17.341,36.75
20049,2.070,5400
20051,25.760,38.04
20053,22.118,4500
20055,51.311,44.01
20057,40.518,37.48
20059,4.386,63.27
20061,2.547,65.86
20063,32.388,40.32
20065,47.097,40.52
20067,38.010,36.11
20069,49.734,52.99
20071,22.682,34.09
20073,4.009,56.15
20075,115.624,33.06
20077,19.055,37.82
20079,3.019,46.5
20081,13.680,38.11
20083,59.185,38.25
20085,11.367,72.49
20087,5.591,68.89
20089,8.909,50.76
20091,565,59.9
20093,48.790,4900
20095,23.569,39.13
20097,41.287,37.08
20099,2.706,54.1
20101,43.009,3800
20103,3.217,71.03
20105,14.058,53.53
20107,9.850,60.63
20109,28.097,36.35
20111,11.965,52.78
20113,7.336,46.09
20115,10.217,44.86
20117,10.700,78.76
20119,55.563,38.63
20121,3.739,57.95
20123,6.953,56.28
20125,1.225,53.93
20127,3.452,52.47
20129,77.524,32.93
20131,8.202,93.95
20133,6.029,51.32
20135,96.160,40.03
20137,16.007,36.54
20139,9.779,58.12
20141,14.102,49.97
20143,9.578,53.2
20145,22.240,38.25
20147,12.942,44.08
20149,10.265,72.91
20151,30.846,34.48
20153,2.872,40.48
20155,69.375,46.9
20157,6.765,59.53
20159,11.213,44.6
20161,2.618,69.22
20163,26.737,43.54
20165,49.359,39.54
20167,47.038,40.12
20169,9.239,49.29
20171,12.362,40.67
20173,1.283,45.32
20175,47.342,35.49
20177,3.050,78.28
20179,8.935,41.24
20181,36.252,35.99
20183,9.160,47.97
20185,33.807,44.73
20187,64.876,31.53
20189,58.323,32.58
20191,6.682,42.69
20193,14.604,37.49
20195,30.661,37.74
20197,8.894,70.79
20199,41.591,35.13
20201,15.023,68.15
20203,18.977,41.06
20205,2.824,55.57
20207,5.790,53.94
20209,3,8000
21001,7.191,143.87
21003,7.781,157.91
21005,8,66.53
21007,1.495,93.19
21009,5.656,160.99
21011,56,59.47
21013,0,0
21015,11,63.08
21017,897,65.91
21019,12,63.2
21021,212,69.47
21023,11,65.88
21025,0,0
21027,4.641,88.28
21029,55,71.16
21031,7.377,145.7
21033,4.162,113.04
21035,5.231,110.27
21037,22,48.58
21039,1.877,116.26
21041,0,0
21043,13,64.96
21045,325,81.28
21047,18.182,138.24
21049,110,65.48
21051,0,0
21053,7,59.4
21055,9.364,118.08
21057,13,65.65
21059,1.363,152.94
21061,6.237,167.77
21063,0,0
21065,20,45.98
21067,125,66.56
21069,339,65.85
21071,7,4100
21073,3,6600
21075,1.541,133.08
21077,0,0
21079,20,61.87
21081,3,5500
21083,13.264,97.65
21085,8.864,100.62
21087,13.368,157.1
21089,22,71.52
21091,299,119.66
21093,1.974,111.68
21095,0,0
21097,272,70.73
21099,15.468,200.77
21101,3.301,139.97
21103,83,78.83
21105,3.854,126.36
21107,4.889,124.79
21109,2,47.96
21111,6,72.2
21113,14,62.58
21115,0,0
21117,8,66.46
21119,0,0
21121,16,56.47
21123,683,205.12
21125,0,0
21127,0,0
21129,7,52.2
21131,0,0
21133,0,0
21135,35,64.5
21137,113,65.74
21139,5.832,93.19
21141,18.896,197.11
21143,711,88.51
21145,1.208,85.4
21147,0,0
21149,2.269,113.11
21151,73,62.08
21153,2,74.13
21155,933,97.72
21157,4.652,98.3
21159,0,0
21161,123,64.26
21163,757,90.16
21165,0,0
21167,154,58.46
21169,5.436,139.27
21171,174,82.56
21173,204,59.76
21175,0,0
21177,6.871,95.43
21179,537,84.95
21181,91,70.15
21183,1.326,105.15
21185,126,75.88
21187,37,6900
21189,0,0
21191,152,81.76
21193,0,0
21195,0,0
21197,2,53.2
21199,102,73.4
21201,1,6900
21203,13,59.91
21205,0,0
21207,1.260,135.8
21209,12,65.52
21211,794,90.48
21213,3.271,194.24
21215,0,0
21217,3.961,151.11
21219,4.828,155.47
21221,2.073,153.28
21223,0,0
21225,2.956,162.88
21227,18.197,216.74
21229,475,71.42
21231,105,123.02
21233,11.435,148.67
21235,45,4200
21237,0,0
21239,35,63.41
22001,10,45.38
22003,237,55.51
22005,0,0
22007,0,0
22009,13.755,75.45
22011,3.982,38.11
22013,32,48.2
22015,453,35.11
22017,212,64.95
22019,0,0
22021,6.726,201.67
22023,0,0
22025,24.806,90.31
22027,0,0
22029,33.837,104.74
22031,272,61.66
22033,161,35.91
22035,12.885,104.04
22037,4.846,27.24
22039,3.474,43.7
22041,28.311,81.37
22043,1.095,74.17
22045,11,5000
22047,71,90.39
22049,0,0
22051,0,0
22053,190,70.62
22055,0,0
22057,0,0
22059,468,61.85
22061,0,0
22063,3,43.2
22065,20.082,101.8
22067,12.025,86.27
22069,10.374,67.97
22071,0,0
22073,3.319,91.3
22075,0,0
22077,0,0
22079,3.656,86.18
22081,5.011,69.65
22083,27.024,70.75
22085,43,41.16
22087,0,0
22089,0,0
22091,601,21.02
22093,0,0
22095,0,0
22097,4.734,52.81
22099,41,53.15
22101,0,0
22103,0,0
22105,852,27.08
22107,20.795,109.88
22109,0,0
22111,0,0
22113,0,0
22115,180,62.11
22117,556,28.24
22119,0,0
22121,5,4500
22123,41.120,67.77
22125,2.962,31.35
22127,87,34.05
23001,5,58.94
23003,7.713,47.14
23005,0,0
23007,38,55.11
23009,0,0
23011,0,0
23013,0,0
23015,0,0
23017,13,47.5
23019,227,26.95
23021,0,0
23023,0,0
23025,0,0
23027,0,0
23029,0,49.8
23031,0,0
24001,719,116.88
24003,8,116.19
24005,413,136.31
24009,149,112.22
24011,3.028,162.63
24013,7.326,162.62
24015,2.008,160.71
24017,1.190,128.62
24019,7.647,199.44
24021,4.056,140.86
24023,1.024,81.8
24025,940,175.66
24027,390,155.96
24029,4.867,186.09
24031,1.129,111.9
24033,295,126.81
24035,7.986,207.86
24037,1.076,135.54
24039,2.796,165.09
24041,4.279,204.79
24043,1.737,170.35
24045,4.812,157.28
24047,5.452,185.81
24510,0,0
25001,0,0
25003,0,0
25005,0,0
25007,0,0
25009,0,0
25011,10,207.2
25013,0,0
25015,0,0
25017,0,0
25019,0,0
25021,0,0
25023,0,0
25025,0,0
25027,0,0
26001,4,36.4
26003,0,0
26005,1.546,92.65
26007,0,0
26009,28,25.3
26011,6.679,114.62
26013,0,0
26015,4.689,88.11
26017,4.651,145.84
26019,13,2400
26021,1.075,83.02
26023,5.288,85.98
26025,3.147,85.18
26027,1.811,83.01
26029,0,0
26031,10,4000
26033,295,32.04
26035,947,66.11
26037,3.370,101.59
26039,0,0
26041,0,0
26043,3,2200
26045,3.054,84.82
26047,0,0
26049,532,72.44
26051,2.328,8700
26053,0,0
26055,174,37.03
26057,6.066,129.1
26059,14.242,112.89
26061,1,2500
26063,12.990,136.01
26065,164,72.31
26067,2.959,104.53
26069,870,53.36
26071,0,0
26073,3.597,85.55
26075,1.052,63.04
26077,543,66.03
26079,15,2600
26081,686,88.1
26083,0,0
26085,36,47.01
26087,735,90.21
26089,1,39.8
26091,23.599,138.34
26093,90,65.68
26095,0,0
26097,8,26.56
26099,0,0
26101,13,27.42
26103,4,2100
26105,424,69.74
26107,1.087,55.09
26109,17,2000
26111,3.919,147.97
26113,129,56.41
26115,2.638,158.21
26117,1.975,57.08
26119,0,0
26121,251,76.55
26123,271,52.4
26125,0,0
26127,520,53.93
26129,746,53.89
26131,7,2100
26133,660,31.32
26135,46,3000
26137,0,0
26139,534,85.39
26141,310,44.27
26143,0,0
26145,11.968,154.34
26147,52,63.28
26149,1.888,85.69
26151,6.631,96.36
26153,0,0
26155,2.880,86.28
26157,10.984,135.6
26159,1.932,81.42
26161,806,84.1
26163,0,0
26165,101,32.49
27001,548,37.11
27003,150,49.46
27005,25.082,68.27
27007,3.029,41.36
27009,2.884,55.4
27011,7.902,95.14
27013,10.818,134.55
27015,14.965,140.82
27017,260,30.01
27019,4.097,174.63
27021,585,33.54
27023,13.135,136.92
27025,412,55.97
27027,18.603,81.38
27029,2.839,40.7
27031,11,31.4
27033,12.163,122.82
27035,17,32.1
27037,2.132,153.73
27039,3.313,194.64
27041,21.021,78.28
27043,5.389,149.12
27045,17.809,174.8
27047,10.687,197.37
27049,6.512,150.4
27051,25.109,117.9
27053,656,99.75
27055,10.996,135.1
27057,446,46.99
27059,715,50.66
27061,548,31.36
27063,8.665,136.85
27065,189,39.13
27067,33.223,131.09
27069,81.500,59.64
27071,81,32.28
27073,26.741,119.61
27075,0,0
27077,1.049,35.51
27079,17.434,176.72
27081,27.141,146.21
27083,14.482,155.49
27085,6.784,168.9
27087,5.874,74.85
27089,111.107,62.98
27091,6.604,148.98
27093,17.210,126.37
27095,701,53.49
27097,5.141,48.52
27099,7.949,226.93
27101,18.096,129.17
27103,4.117,169.23
27105,8.608,138.5
27107,18.162,66.86
27109,6.975,177.64
27111,59.127,65.06
27113,21.292,52.93
27115,180,38.14
27117,6.646,120.57
27119,66.666,71.3
27121,28.949,81.85
27123,0,0
27125,11.577,54.77
27127,16.998,149.11
27129,12.929,150.05
27131,12.069,144.3
27133,2.158,150.54
27135,84.121,39.94
27137,87,31.28
27139,2.804,143.92
27141,1.205,44.85
27143,5.646,219.12
27145,24.684,92.84
27147,9.968,159.22
27149,12.730,106.85
27151,27.224,119.24
27153,10.129,60.99
27155,16.183,125.1
27157,6.365,155.98
27159,2.411,43.1
27161,8.276,158.48
27163,314,71.86
27165,5.960,166.18
27167,11.283,93.19
27169,6.668,143.79
27171,7.863,104.27
27173,20.144,137.87
28001,2.902,58.86
28003,5.353,50.1
28005,6.487,29.26
28007,13.709,66.9
28009,4.716,52.33
28011,10.009,76.06
28013,17.948,104.13
28015,17.653,76.75
28017,23.543,64.84
28019,5.049,44.98
28021,8.747,47.62
28023,987,27.89
28025,16.363,51.43
28027,10.819,88.1
28029,7.472,46.72
28031,1.518,40.53
28033,4.389,75.71
28035,491,28.22
28037,1.944,34.06
28039,123,37.23
28041,110,34.71
28043,8.711,58.56
28045,199,22.9
28047,0,0
28049,25.167,50.17
28051,22.427,83.27
28053,10.001,90.32
28055,6.160,9500
28057,6.946,48.74
28059,0,0
28061,1.501,38.39
28063,3.249,41.4
28065,1.206,26.58
28067,2.575,36.34
28069,4.370,35.82
28071,6.868,51.87
28073,880,27.82
28075,1.290,38.83
28077,1.259,44.72
28079,4.837,45.18
28081,4.096,42.7
28083,19.095,79.28
28085,2.049,31.99
28087,12.079,41.39
28089,28.815,56.96
28091,3.918,37.53
28093,9.667,55.93
28095,16.292,52.2
28097,6.573,64.48
28099,3.089,39.26
28101,5.878,35.81
28103,22.138,48.48
28105,12.093,41.81
28107,41.410,63.87
28109,5.258,32.5
28111,981,28.89
28113,1.693,29.22
28115,19.878,52.12
28117,10.511,61.67
28119,30.899,79.16
28121,8.000,53.66
28123,7.127,39.9
28125,13.538,90.89
28127,3.512,34.37
28129,1.486,38.45
28131,520,38.31
28133,9.127,76.75
28135,26.537,70.61
28137,9.137,7000
