fid,lat,lng
842,87.50,-57.50
843,87.50,-56.50
844,87.50,-55.50
845,87.50,-54.50
846,87.50,-53.50
847,87.50,-52.50
848,87.50,-51.50
849,87.50,-50.50
850,87.50,-49.50
851,87.50,-48.50
852,87.50,-47.50
853,87.50,-46.50
854,87.50,-45.50
855,87.50,-44.50
856,87.50,-43.50
857,87.50,-42.50
858,87.50,-41.50
859,87.50,-40.50
860,87.50,-39.50
861,87.50,-38.50
862,87.50,-37.50
863,87.50,-36.50
864,87.50,-35.50
865,87.50,-34.50
866,87.50,-33.50
867,87.50,-32.50
868,87.50,-31.50
869,87.50,-30.50
870,87.50,-29.50
871,87.50,-28.50
872,87.50,-27.50
873,87.50,-26.50
874,87.50,-25.50
875,87.50,-24.50
876,87.50,-23.50
877,87.50,-22.50
878,87.50,-21.50
879,87.50,-20.50
880,87.50,-19.50
881,87.50,-18.50
882,87.50,-17.50
883,87.50,-16.50
884,87.50,-15.50
885,87.50,-14.50
886,87.50,-13.50
887,87.50,-12.50
888,87.50,-11.50
889,87.50,-10.50
890,87.50,-9.50
891,87.50,-8.50
892,87.50,-7.50
893,87.50,-6.50
894,87.50,-5.50
895,87.50,-4.50
896,87.50,-3.50
897,87.50,-2.50
898,87.50,-1.50
899,87.50,-0.50
900,87.50,0.50
901,87.50,1.50
902,87.50,2.50
903,87.50,3.50
904,87.50,4.50
905,87.50,5.50
906,87.50,6.50
907,87.50,7.50
908,87.50,8.50
909,87.50,9.50
910,87.50,10.50
911,87.50,11.50
912,87.50,12.50
913,87.50,13.50
914,87.50,14.50
915,87.50,15.50
916,87.50,16.50
917,87.50,17.50
918,87.50,18.50
919,87.50,19.50
920,87.50,20.50
921,87.50,21.50
922,87.50,22.50
923,87.50,23.50
924,87.50,24.50
925,87.50,25.50
926,87.50,26.50
927,87.50,27.50
928,87.50,28.50
929,87.50,29.50
930,87.50,30.50
931,87.50,31.50
932,87.50,32.50
933,87.50,33.50
934,87.50,34.50
935,87.50,35.50
936,87.50,36.50
937,87.50,37.50
938,87.50,38.50
939,87.50,39.50
940,87.50,40.50
941,87.50,41.50
942,87.50,42.50
943,87.50,43.50
944,87.50,44.50
945,87.50,45.50
946,87.50,46.50
947,87.50,47.50
948,87.50,48.50
949,87.50,49.50
950,87.50,50.50
951,87.50,51.50
952,87.50,52.50
953,87.50,53.50
954,87.50,54.50
955,87.50,55.50
956,87.50,56.50
957,87.50,57.50
958,87.50,58.50
959,87.50,59.50
960,87.50,60.50
961,87.50,61.50
962,87.50,62.50
963,87.50,63.50
964,87.50,64.50
965,87.50,65.50
966,87.50,66.50
967,87.50,67.50
968,87.50,68.50
969,87.50,69.50
970,87.50,70.50
971,87.50,71.50
972,87.50,72.50
973,87.50,73.50
974,87.50,74.50
975,87.50,75.50
976,87.50,76.50
977,87.50,77.50
978,87.50,78.50
979,87.50,79.50
980,87.50,80.50
981,87.50,81.50
982,87.50,82.50
983,87.50,83.50
984,87.50,84.50
985,87.50,85.50
986,87.50,86.50
987,87.50,87.50
988,87.50,88.50
989,87.50,89.50
990,87.50,90.50
991,87.50,91.50
992,87.50,92.50
993,87.50,93.50
994,87.50,94.50
995,87.50,95.50
996,87.50,96.50
997,87.50,97.50
998,87.50,98.50
999,87.50,99.50
1000,87.50,100.50
1001,87.50,101.50
1002,87.50,102.50
1003,87.50,103.50
1004,87.50,104.50
1005,87.50,105.50
1006,87.50,106.50
1007,87.50,107.50
1008,87.50,108.50
1009,87.50,109.50
1010,87.50,110.50
1011,87.50,111.50
1012,87.50,112.50
1013,87.50,113.50
1014,87.50,114.50
1015,87.50,115.50
1016,87.50,116.50
1017,87.50,117.50
1018,87.50,118.50
1019,87.50,119.50
1020,87.50,120.50
1021,87.50,121.50
1022,87.50,122.50
1023,87.50,123.50
1024,87.50,124.50
1025,87.50,125.50
1026,87.50,126.50
1027,87.50,127.50
1028,87.50,128.50
1029,87.50,129.50
1030,87.50,130.50
1031,87.50,131.50
1032,87.50,132.50
1033,87.50,133.50
1034,87.50,134.50
1035,87.50,135.50
1036,87.50,136.50
1037,87.50,137.50
1038,87.50,138.50
1039,87.50,139.50
1040,87.50,140.50
1041,87.50,141.50
1042,87.50,142.50
1043,87.50,143.50
1044,87.50,144.50
1045,87.50,145.50
1046,87.50,146.50
1047,87.50,147.50
1048,87.50,148.50
1049,87.50,149.50
1050,87.50,150.50
1051,87.50,151.50
1052,87.50,152.50
1053,87.50,153.50
1054,87.50,154.50
1055,87.50,155.50
1056,87.50,156.50
1057,87.50,157.50
1058,87.50,158.50
1059,87.50,159.50
1060,87.50,160.50
1061,87.50,161.50
1062,87.50,162.50
1063,87.50,163.50
1064,87.50,164.50
1065,87.50,165.50
1066,87.50,166.50
1067,87.50,167.50
1068,87.50,168.50
1069,87.50,169.50
1070,87.50,170.50
1071,87.50,171.50
1072,87.50,172.50
1073,87.50,173.50
1074,87.50,174.50
1075,87.50,175.50
1076,87.50,176.50
1077,87.50,177.50
1078,87.50,178.50
1079,87.50,179.50
1080,86.50,-179.50
1081,86.50,-178.50
1082,86.50,-177.50
1083,86.50,-176.50
1084,86.50,-175.50
1085,86.50,-174.50
1086,86.50,-173.50
1087,86.50,-172.50
1088,86.50,-171.50
1089,86.50,-170.50
1090,86.50,-169.50
1091,86.50,-168.50
1092,86.50,-167.50
1093,86.50,-166.50
1094,86.50,-165.50
1095,86.50,-164.50
1096,86.50,-163.50
1097,86.50,-162.50
1098,86.50,-161.50
1099,86.50,-160.50
1100,86.50,-159.50
1101,86.50,-158.50
1102,86.50,-157.50
1103,86.50,-156.50
1104,86.50,-155.50
1105,86.50,-154.50
1106,86.50,-153.50
1107,86.50,-152.50
1108,86.50,-151.50
1109,86.50,-150.50
1110,86.50,-149.50
1111,86.50,-148.50
1112,86.50,-147.50
1113,86.50,-146.50
1114,86.50,-145.50
1115,86.50,-144.50
1116,86.50,-143.50
1117,86.50,-142.50
1118,86.50,-141.50
1119,86.50,-140.50
1120,86.50,-139.50
1121,86.50,-138.50
1122,86.50,-137.50
1123,86.50,-136.50
1124,86.50,-135.50
1125,86.50,-134.50
1126,86.50,-133.50
1127,86.50,-132.50
1128,86.50,-131.50
1129,86.50,-130.50
1130,86.50,-129.50
1131,86.50,-128.50
1132,86.50,-127.50
1133,86.50,-126.50
1134,86.50,-125.50
1135,86.50,-124.50
1136,86.50,-123.50
1137,86.50,-122.50
1138,86.50,-121.50
1139,86.50,-120.50
1140,86.50,-119.50
1141,86.50,-118.50
1142,86.50,-117.50
1143,86.50,-116.50
1144,86.50,-115.50
1145,86.50,-114.50
1146,86.50,-113.50
1147,86.50,-112.50
1148,86.50,-111.50
1149,86.50,-110.50
1150,86.50,-109.50
1151,86.50,-108.50
1152,86.50,-107.50
1153,86.50,-106.50
1154,86.50,-105.50
1155,86.50,-104.50
1156,86.50,-103.50
1157,86.50,-102.50
1158,86.50,-101.50
1159,86.50,-100.50
1160,86.50,-99.50
1161,86.50,-98.50
1162,86.50,-97.50
1163,86.50,-96.50
1164,86.50,-95.50
1165,86.50,-94.50
1166,86.50,-93.50
1167,86.50,-92.50
1168,86.50,-91.50
1169,86.50,-90.50
1170,86.50,-89.50
1171,86.50,-88.50
1172,86.50,-87.50
1173,86.50,-86.50
1174,86.50,-85.50
1175,86.50,-84.50
1176,86.50,-83.50
1177,86.50,-82.50
1178,86.50,-81.50
1179,86.50,-80.50
1180,86.50,-79.50
1181,86.50,-78.50
1182,86.50,-77.50
1183,86.50,-76.50
1184,86.50,-75.50
1185,86.50,-74.50
1186,86.50,-73.50
1187,86.50,-72.50
1188,86.50,-71.50
1189,86.50,-70.50
1190,86.50,-69.50
1191,86.50,-68.50
1192,86.50,-67.50
1193,86.50,-66.50
1194,86.50,-65.50
1195,86.50,-64.50
1196,86.50,-63.50
1197,86.50,-62.50
1198,86.50,-61.50
1199,86.50,-60.50
1200,86.50,-59.50
1201,86.50,-58.50
1202,86.50,-57.50
1203,86.50,-56.50
1204,86.50,-55.50
1205,86.50,-54.50
1206,86.50,-53.50
1207,86.50,-52.50
1208,86.50,-51.50
1209,86.50,-50.50
1210,86.50,-49.50
1211,86.50,-48.50
