fid,UN_cur,UN_ssp1,UN_ssp3,UN_ssp5,pop_cur,pop_ssp1,pop_ssp3,pop_ssp5
11027,0.023766017,0.023766017,0.023766017,0.023766017,17563.85352,0,14839.04492,0
11028,0,0,0,0,27408.875,16536.10938,23064.32813,18088.79688
11029,41.20582146,41.20515814,41.20515814,41.20582146,182511.0313,171966.7344,173077.9219,181631.2969
11030,1.40E-05,0,0,1.40E-05,62527.82422,56437.625,58438.87109,59597.50781
11031,0,0,0,0,26891.71289,16253.77441,22580.24609,17626.46094
11032,0.29465237,0.29465237,0.29465237,0.29465237,36251.03516,23059.45898,30830.75781,24908.92969
11033,0,0,0,0,20421.29688,12420.70117,17108.6582,13335.99316
11034,448.0798649,448.0798649,448.0798649,448.0798649,0,0,0,0
11035,94.308461,94.308461,94.308461,94.308461,0,0,0,0
11036,0.024304245,0.026798975,0.026798975,0.026798975,251588.4219,252581.2656,243600.7344,265237.8125
11037,0,0,0,0,86474.84375,62645.89844,75968.82031,67155.125
11040,0,0,0,0,59142.07031,41368.22656,51610.96875,44165.21094
11041,0,0,0,0,35497.44531,21643.83984,29931.9082,23265.85547
11042,0.000436123,0.000436123,0.000436123,0.000436123,8806.083008,5242.829102,7357.728027,5886.817871
11043,0,0,0,0,3437.243164,2010.614624,2869.563721,2378.726074
11044,0,0,0,0,6746.638672,4381.304199,5765.05957,4586.19043
11045,0,0,0,0,15337.46484,10140.05566,12878.90625,10299.67969
11046,0,0,0,0,18590.01367,12154.61719,15483.12012,12311.94531
11047,0,0,0,0,13835.87695,8528.337891,11533.15723,9021.914063
11048,0,0,0,0,6308.317383,4054.919922,5445.860352,4179.086914
11060,0,0,0,0,1655.496582,1074.799194,1554.671143,1104.484741
11069,0,0,0,0,1634.53772,1089.691895,1633.975342,1089.691895
11071,0,0,0,0,1601.676758,1064.607666,1598.329834,1066.817871
11079,0,0,0,0,4980.169922,3237.260742,4398.671875,3456.16748
11216,0,0,0,0,68.54772949,49686.41016,49686.41016,49690.01172
11217,0.0942696,0.0945553,0.0945553,0.0945553,0,46206.5,46143.00781,46270.5
11222,1.524466,1.524466,1.524466,1.524466,0,0,0,0
11223,2078.23707,2086.374897,2086.374897,2085.401623,0,0,0,0
11224,189.0864097,189.2684455,189.2684455,189.2684455,0,0,0,0
11333,0,0,0,0,28007.96875,18084.60156,21103.72852,22194.67969
11335,0,0,0,0,33930.40625,32516.58008,30406.28906,37869.20313
11336,1.803865132,0.062641034,1.75530426,1.690599359,99947.77344,100694.1719,92062,116827.3047
11337,0.914928462,0.798001286,0.903166433,0.903166433,63767.58594,40669.45703,47444.06641,50020.67188
11345,54628.12186,49480.45456,54640.15034,52725.68969,0,0,0,0
11346,4821.508273,3822.791099,4962.498316,4849.073029,0,56828.875,48226.99219,69286.75
11347,0,0,0,0.009817312,110338.4609,161962.25,126497.375,193861.2813
11348,3.363165582,0,0,0.863498436,157229.5781,248891.9063,188101.625,294034.2188
11349,0.001623718,0.001623718,0.001623718,0.001623718,1293.180664,2294.68042,1871.124756,2673.326904
11350,1.348355859,0.794547812,0.794547812,0.168396104,11753.85938,13082.00098,10764.62109,14776.64258
11351,0.18151479,0.081968788,0.147428563,0.114276326,606749.75,849100.1875,673059.4375,991009.5
11352,90462.87629,91612.22965,91748.3387,97698.57427,0,0,0,983727.3125
11353,185264.8551,185753.5236,185794.7409,189610.7047,0,0,0,0
11354,44594.53741,44695.20001,45080.14408,46710.04823,0,0,0,0
11355,90156.07578,90170.09937,90259.00982,91649.41679,0,0,0,0
11356,14374.84063,14941.4618,15440.36305,16306.11725,0,0,0,0
11357,1646.189128,3523.128354,3461.666814,5043.678313,0,0,0,0
11361,0,0,0,0,291.0652161,940.1906738,989.1931152,971.6373291
11362,0.097237226,0.211886866,0.211886866,0.663913765,33348.45703,0,28207.62109,30528.95898
11363,0.62670017,0.780457508,0.780457508,2.227486854,0,0,0,0
11364,7.018693407,13.9630796,13.97260971,42.79297705,0,0,0,0
11365,3576.149398,3316.201795,3336.516022,5290.860846,0,0,0,0
11366,7745.325771,6730.131543,6886.312878,9700.556533,0,0,0,0
