UN_cur,UN_ssp1,UN_ssp3,UN_ssp5,pop_cur,pop_ssp1,pop_ssp3,pop_ssp5,lat,lng
0.0,0.0,0.0,0.0,77109.09375,75344.60938,74179.8125,79715.57031,60.5,56.5
0.0,0.0,0.0,0.0,13592.832030000001,8248.814453,11549.32227,9200.121094,60.5,57.5
0.0,0.0,0.0,0.0,104538.8438,86395.5,95284.71875,92077.39844,60.5,60.5
0.0,0.0,0.0,0.0,18945.24023,11851.11719,16733.3125,13270.3125,60.5,64.5
0.0,0.0,0.0,0.0,18471.84766,11207.01367,15915.046880000002,12339.58594,60.5,66.5
0.0,0.0,0.0,0.0,18698.80078,11593.89844,16750.58984,12619.76563,60.5,67.5
0.0,0.0,0.0,0.0,5322.703125,78416.57813,76088.14063,80552.57813,59.5,-122.5
0.076934769,0.073698752,0.073698752,0.073698752,11831.17578,9052.179688,10359.28711,10634.94922,59.5,-3.5
2890.609923,2640.466453,2957.662552,2237.545631,491325.25,764184.4375,580864.0,900434.1875,59.5,5.5
1.9324094930000002,0.049112273,1.9541666359999998,2.040784182,42142.80469,49150.98438,43204.90234,59540.234379999994,59.5,6.5
1207.8830890000002,1230.7687230000001,1229.375942,1164.669211,206318.2188,296922.75,234146.5469,356900.8125,59.5,9.5
10084.12451,9180.085008,9319.496290000001,9187.681321,0.0,0.0,0.0,811840.8125,59.5,10.5
0.0,0.0,0.0,0.0,66329.73438,89791.94531,69662.85938,106700.5156,59.5,12.5
0.0,0.0,0.0,0.0,180190.75,249925.3125,202145.3906,288934.0313,59.5,13.5
2843.897182,4651.945983,4444.068424,6743.271366,1267198.25,1782021.25,1427465.0,2063916.75,59.5,18.5
0.006708865,0.06733329,0.06733329,0.266556611,31352.01758,28650.10547,25271.61719,31754.875,59.5,23.5
11.18742549,3.622303282,3.93775349,13.72089548,626780.75,650522.75,516347.375,708138.875,59.5,24.5
2025.7606469999998,2125.8021350000004,2125.8021350000004,2224.3116649999997,0.0,0.0,0.0,119712.3125,59.5,27.5
26.84145858,26.2918517,25.88205908,27.42104295,186001.9375,154668.125,157886.5625,167027.7813,59.5,28.5
531.2404638999999,485.6553337,480.181166,531.6316799,146047.5938,0.0,125171.8438,0.0,59.5,29.5
1364.046523,1349.819225,1346.485599,1367.591416,249187.5,165082.9063,214020.3281,178262.5469,59.5,30.5
20.23508166,20.22272079,20.22272079,20.23508166,144984.1094,96515.75781,124789.3594,104338.0625,59.5,31.5
4.6788200810000005,4.459809581,4.459809581,4.532809379,70120.67969,44725.53906,60126.046879999994,48734.95313,59.5,32.5
2.289917541,2.28307509,2.28307509,2.4959415430000003,35027.51953,21400.42383,29354.76758,23342.01953,59.5,33.5
0.048641128,0.043475442999999996,0.043475442999999996,0.049343937000000004,41306.39453,25301.27344,34648.53906,27414.210939999997,59.5,34.5
0.0,0.0,0.0,0.0,36138.67188,21900.42578,30328.464839999997,23835.10547,59.5,35.5
0.0,0.0,0.0,0.0,30280.5918,18402.88672,25484.4375,19956.42188,59.5,36.5
0.028747939,0.026486419,0.026486419,0.02890593,362624.625,378368.625,355655.1563,397290.7188,59.5,37.5
33.66277569,34.26922448,34.26922448,34.26922448,85582.03906,0.0,77495.39063,73096.16406,59.5,38.5
1.708578421,1.71068888,1.7106888480000002,1.71068888,353960.2188,361964.0,344396.1563,380568.1563,59.5,39.5
0.0,0.0,0.0,0.0,64925.05469,50683.37891,58056.35547,54054.65625,59.5,40.5
0.0,0.0,0.0,0.0,29342.5,17897.73633,24625.93945,19396.53906,59.5,41.5
0.002410014,0.002410014,0.002410014,0.002410014,19696.72656,11896.31836,16702.01953,12898.40234,59.5,42.5
0.0,0.0,0.0,0.0,15122.45215,9216.833984,12747.60156,10064.60059,59.5,43.5
0.11771744099999999,0.11771744099999999,0.11771744099999999,0.11771744099999999,15041.863280000001,9103.835938,12673.33398,10091.69531,59.5,44.5
0.023766017,0.023766017,0.023766017,0.023766017,17563.85352,0.0,14839.044919999998,0.0,59.5,47.5
